y1,y2,x5,x12,b10,b11,e10,e11,l10,l11,g4,g8,ib8,ib10
345.75,1383,2.2508,2.6542,19.75,19.5,96.2000,98.4000,1151992.6980,1139779.6100,1829.3605,1803.3098,28045.0000,25051.0000
367,1468,2.2169,2.5138,19.75,19.75,95.0000,96.2000,1197998.4192,1151992.6980,1711.9258,1775.6550,31584.0000,26042.0000
370,1480,2.2731,2.4278,19.75,19.75,95.0000,95.0000,1181451.5766,1197998.4192,1661.1478,1843.9622,30194.0000,28045.0000
344.25,1377,2.1611,2.3451,19.75,19.75,95.7000,95.0000,1164873.9831,1181451.5766,1828.1118,1867.2535,31917.0000,31584.0000
350.25,1401,2.1512,2.3777,19.5,19.75,94.8000,95.7000,1125163.5753,1164873.9831,1759.3451,1829.3605,33456.0000,30194.0000
357,1428,2.1285,2.3615,19,19.5,92.6000,94.8000,1151992.6980,1125163.5753,1852.2938,1711.9258,38383.0000,31917.0000
369,1476,2.1773,2.2331,18.5,19,91.7000,92.6000,1139779.6102,1151992.6980,1817.8941,1661.1478,38610.0000,33456.0000
364.75,1459,2.2475,2.2508,18,18.5,93.4000,91.7000,1151992.6980,1139779.6102,1897.0616,1828.1118,37952.0000,38383.0000
352,1408,2.1885,2.2169,17.25,18,97.5000,93.4000,1249123.7170,1151992.6980,1945.5470,1759.3451,40363.0000,38610.0000
296.25,1185,2.1551,2.2731,17.25,17.25,100.4000,97.5000,1222452.9540,1249123.7170,1911.5949,1852.2938,36530.0000,37952.0000
272.25,1089,2.1679,2.1611,16.5,17.25,104.0000,100.4000,1208518.0990,1222452.9540,2030.7881,1817.8941,36631.0000,40363.0000
264,1056,2.1475,2.1512,15.75,16.5,98.3000,104.0000,1239286.2710,1208518.0990,2042.9250,1897.0616,37077.0000,36530.0000
256.5,1026,2.1571,2.1285,15.25,15.75,98.6000,98.3000,1253697.8330,1239286.2710,1981.8767,1945.5470,36232.0000,36631.0000
268.25,1073,2.1491,2.1773,15.25,15.25,101.3000,98.6000,1265698.5180,1253697.8330,1894.4486,1911.5949,36449.0000,37077.0000
255.25,1021,2.1377,2.2475,14.75,15.25,99.6000,101.3000,1291959.5140,1265698.5180,1840.1406,2030.7881,39263.0000,36232.0000
242.25,969,2.0955,2.1885,14.25,14.75,102.5000,99.6000,1354033.5260,1291959.5140,2031.0000,2042.9250,41932.0000,36449.0000
233.5,934,2.0879,2.1551,14.25,14.25,99.7000,102.5000,1367989.4310,1354033.5260,1987.4934,1981.8767,44474.0000,39263.0000
217.5,870,2.0312,2.1679,13.75,14.25,99.7000,99.7000,1427760.4330,1367989.4310,2060.4356,1894.4486,44642.0000,41932.0000
214,856,1.9808,2.1475,13.25,13.75,99.1000,99.7000,1628068.2280,1427760.4330,2025.0962,1840.1406,43892.0000,44474.0000
197,788,1.9311,2.1571,13.25,13.25,97.8000,99.1000,1450058.9330,1628068.2280,2081.2528,2031.0000,45805.0000,44642.0000
190.25,761,1.8820,2.1491,13,13.25,104.7000,97.8000,1427301.0320,1450058.9330,2099.2910,1987.4934,48956.0000,43892.0000
179.5,718,1.9652,2.1377,13,13,108.8000,104.7000,1441299.1170,1427301.0320,2034.3011,2060.4356,52268.0000,45805.0000
166.75,667,1.8988,2.0955,12.75,13,111.3000,108.8000,1446309.3330,1441299.1170,2195.6113,2025.0962,54392.0000,48956.0000
180.5,722,1.8002,2.0879,12.5,12.75,110.5000,111.3000,1456355.3110,1446309.3330,2166.6325,2081.2528,54183.0000,52268.0000
190.5,762,1.7691,2.0312,12.5,12.5,110.2000,110.5000,1509751.0160,1456355.3110,2100.3442,2099.2910,54637.0000,54392.0000
209.25,837,1.7852,1.9808,12,12.5,113.0000,110.2000,1531044.1100,1509751.0160,2050.2686,2034.3011,60465.0000,54183.0000
217,868,1.7735,1.9311,11.5,12,113.2000,113.0000,1556997.4240,1531044.1100,2034.0535,2195.6113,65318.0000,54637.0000
208.75,835,1.7269,1.8820,11.5,11.5,114.5000,113.2000,1598385.0720,1556997.4240,2158.7619,2166.6325,63006.0000,60465.0000
185.75,743,1.7068,1.9652,11.25,11.5,114.8000,114.5000,1622706.4340,1598385.0720,2200.1521,2100.3442,63886.0000,65318.0000
183.75,735,1.6881,1.8988,11.25,11.25,111.0000,114.8000,1703860.4030,1622706.4340,2207.1373,2050.2686,59490.0000,63006.0000
177.75,711,1.6597,1.8002,11.25,11.25,109.1000,111.0000,2079942.6560,1703860.4030,2234.7200,2034.0535,63489.0000,63886.0000
179.25,717,1.6181,1.7691,11.25,11.25,107.3000,109.1000,1706046.8030,2079942.6560,2315.9151,2158.7619,60968.0000,59490.0000
184.5,738,1.5906,1.7852,11.25,11.25,109.7000,107.3000,1645748.8120,1706046.8030,2287.0729,2200.1521,67868.0000,63489.0000
164.25,657,1.6115,1.7735,11.25,11.25,112.2000,109.7000,1638892.8400,1645748.8120,2317.8807,2207.1373,72593.0000,60968.0000
165.75,663,1.7988,1.7269,11.25,11.25,112.0000,112.2000,1659359.1680,1638892.8400,2411.9546,2234.7200,65018.0000,67868.0000
169.5,678,2.1721,1.7068,11.75,11.25,112.0000,112.0000,1618384.3270,1659359.1680,2296.5094,2315.9151,59505.0000,72593.0000
172.5,690,2.2655,1.6881,11.75,11.75,114.1000,112.0000,1634095.4640,1618384.3270,2177.1702,2287.0729,55680.0000,65018.0000
205.25,821,2.3936,1.6597,12.25,11.75,113.7000,114.1000,1621876.2590,1634095.4640,2052.6977,2317.8807,49541.0000,59505.0000
217,868,2.3066,1.6181,13,12.25,116.0000,113.7000,1626602.6060,1621876.2590,2024.2170,2411.9546,37257.0000,55680.0000
220,880,2.3119,1.5906,13,13,111.4000,116.0000,1694274.6770,1626602.6060,2240.3467,2296.5094,36596.0000,49541.0000
226.25,905,2.3130,1.6115,13.75,13,100.9000,111.4000,1639295.9540,1694274.6770,2186.4940,2177.1702,37550.0000,37257.0000
212.5,850,2.2051,1.7988,13.75,13.75,83.8000,100.9000,1703591.7710,1639295.9540,2221.9289,2052.6977,39301.0000,36596.0000
208.5,834,2.0601,2.1721,13.75,13.75,74.9000,83.8000,1912661.5900,1703591.7710,2237.2962,2024.2170,38183.0000,37550.0000
205.5,822,1.9568,2.2655,13.75,13.75,75.4000,74.9000,1675600.0590,1912661.5900,2315.5870,2240.3467,40926.0000,39301.0000
194,776,1.9320,2.3936,12.75,13.75,78.3000,75.4000,1653418.6480,1675600.0590,2321.3533,2186.4940,47290.0000,38183.0000
177,708,1.8444,2.3066,12.75,12.75,80.7000,78.3000,1634717.6000,1653418.6480,2368.9921,2221.9289,53198.0000,40926.0000
164.25,657,1.8190,2.3119,11.25,12.75,87.5000,80.7000,1646335.9230,1634717.6000,2529.3299,2237.2962,51466.0000,47290.0000
162,648,1.7376,2.3130,10.25,11.25,90.9000,87.5000,1650721.2820,1646335.9230,2511.1669,2315.5870,54766.0000,53198.0000
157.5,630,1.7254,2.2051,10.25,10.25,94.0000,90.9000,1702184.0820,1650721.2820,2466.7667,2321.3533,56489.0000,51466.0000
164.5,658,1.7495,2.0601,9.25,10.25,97.6000,94.0000,1666034.4960,1702184.0820,2298.0954,2368.9921,61518.0000,54766.0000
162.5,650,1.7790,1.9568,8.75,9.25,102.8000,97.6000,1699592.4820,1666034.4960,2275.4067,2529.3299,61546.0000,56489.0000
158,632,1.8408,1.9320,8.75,8.75,107.1000,102.8000,1758779.3590,1699592.4820,2548.1943,2511.1669,67044.0000,61518.0000
168,672,1.7850,1.8444,8.75,8.75,108.1000,107.1000,1755266.6260,1758779.3590,2480.9027,2466.7667,68588.0000,61546.0000
176,704,1.7558,1.8190,8.75,8.75,107.9000,108.1000,1837016.7250,1755266.6260,2506.5252,2298.0954,65402.0000,67044.0000
182,728,1.8124,1.7376,8.75,8.75,108.1000,107.9000,2070846.4960,1837016.7250,2511.2781,2275.4067,66503.0000,68588.0000
174.75,699,1.8057,1.7254,8.75,8.75,109.2000,108.1000,1874382.4650,2070846.4960,2609.0060,2548.1943,70372.0000,65402.0000
159.25,637,1.7688,1.7495,8.75,8.75,112.4000,109.2000,1843248.0690,1874382.4650,2635.8652,2480.9027,67530.0000,66503.0000
144,576,1.7588,1.7790,8.75,8.75,115.0000,112.4000,1873823.7500,1843248.0690,2660.2987,2506.5252,63047.0000,70372.0000
134.25,537,1.7179,1.8408,8.75,8.75,115.0000,115.0000,1860277.8460,1873823.7500,2756.7769,2511.2781,60936.0000,67530.0000
140.25,561,1.6827,1.7850,9.5,8.75,114.5000,115.0000,1874105.5850,1860277.8460,2797.3706,2609.0060,67515.0000,63047.0000
142.5,570,1.7125,1.7558,9.5,9.5,112.5000,114.5000,1904510.6620,1874105.5850,2702.7408,2635.8652,65146.0000,60936.0000
151.75,607,1.6926,1.8124,10.25,9.5,111.5000,112.5000,1913256.4100,1904510.6620,2527.9026,2660.2987,69430.0000,67515.0000
153,612,1.6741,1.8057,10.75,10.25,113.3000,111.5000,1967454.8770,1913256.4100,2548.6801,2756.7769,70673.0000,65146.0000
151.75,607,1.6672,1.7688,10.75,10.75,114.2000,113.3000,2012090.4620,1967454.8770,2718.5341,2797.3706,67705.0000,69430.0000
161,644,1.6583,1.7588,10.75,10.75,114.0000,114.2000,2007873.5740,2012090.4620,2687.5165,2702.7408,69305.0000,70673.0000
146,584,1.5856,1.7179,10.75,10.75,111.6000,114.0000,2068632.1160,2007873.5740,2781.0958,2527.9026,66575.0000,67705.0000
144,576,1.6127,1.6827,10.75,10.75,109.4000,111.6000,2234693.6700,2068632.1160,2744.3743,2548.6801,67383.0000,69305.0000
143.25,573,1.5862,1.7125,10.75,10.75,107.2000,109.4000,2031883.5710,2234693.6700,2767.5213,2718.5341,68587.0000,66575.0000
130.75,523,1.5631,1.6926,11.25,10.75,110.5000,107.2000,1996661.9530,2031883.5710,2816.5838,2687.5165,66133.0000,67383.0000
134.75,539,1.5962,1.6741,11.25,11.25,110.2000,110.5000,1969949.7100,1996661.9530,2769.6909,2781.0958,64620.0000,68587.0000
140,560,1.7490,1.6672,11.75,11.25,112.2000,110.2000,1931652.0880,1969949.7100,2862.7189,2744.3743,62404.0000,66133.0000
142.25,569,1.7719,1.6583,12,11.75,109.7000,112.2000,1934342.0250,1931652.0880,2909.3327,2767.5213,58824.0000,64620.0000
153.5,614,1.7898,1.5856,12,12,108.7000,109.7000,1964999.2980,1934342.0250,2853.7970,2816.5838,56495.0000,62404.0000
173.25,693,1.8362,1.6127,12.25,12,107.8000,108.7000,1953400.7230,1964999.2980,2684.9794,2769.6909,52324.0000,58824.0000
174.75,699,1.7890,1.5862,12.5,12.25,106.7000,107.8000,1916230.4730,1953400.7230,2700.6040,2862.7189,58338.0000,56495.0000
181.5,726,1.7178,1.5631,12,12.5,106.1000,106.7000,1964556.6940,1916230.4730,2918.2568,2909.3327,56875.0000,52324.0000
188.25,753,1.7947,1.5962,12,12,105.1000,106.1000,1941705.8780,1964556.6940,2817.8764,2853.7970,56754.0000,58338.0000
171.25,685,1.8542,1.7490,11.5,12,103.2000,105.1000,1996512.8700,1941705.8780,2926.8922,2684.9794,63072.0000,56875.0000
169.75,679,1.9854,1.7719,11,11.5,101.4000,103.2000,2162928.9680,1996512.8700,2878.0266,2700.6040,65812.0000,56754.0000
153.75,615,2.0486,1.7898,11,11,101.8000,101.4000,1965680.7510,2162928.9680,2968.0067,2918.2568,64511.0000,63072.0000
140.5,562,2.0282,1.8362,10.5,11,103.7000,101.8000,1937693.0930,1965680.7510,3029.6050,2817.8764,61820.0000,65812.0000
148.5,594,2.0289,1.7890,10.5,10.5,105.4000,103.7000,1945505.9870,1937693.0930,2901.3315,2926.8922,54490.0000,64511.0000
135.5,542,2.0275,1.7178,9.75,10.5,105.0000,105.4000,1946065.8100,1945505.9870,3095.1751,2878.0266,54355.0000,61820.0000
140.75,563,2.0293,1.7947,9,9.75,103.4000,105.0000,1945954.3550,1946065.8100,3047.5811,2968.0067,56097.0000,54490.0000
144.5,578,2.0672,1.8542,8.5,9,102.4000,103.4000,1991592.6190,1945954.3550,2938.8741,3029.6050,57062.0000,54355.0000
141.75,567,2.0772,1.9854,8.5,8.5,101.9000,102.4000,1986965.0030,1991592.6190,2887.0275,2901.3315,59176.0000,56097.0000
154.5,618,2.0305,2.0486,8,8.5,103.5000,101.9000,1993174.7940,1986965.0030,2798.9426,3095.1751,57068.0000,57062.0000
149.25,597,1.9727,2.0282,7.5,8,106.2000,103.5000,2043547.9140,1993174.7940,3045.7610,3047.5811,57475.0000,59176.0000
148,592,1.9823,2.0289,7.5,7.5,105.3000,106.2000,2022485.4140,2043547.9140,3116.9627,2938.8741,60952.0000,57068.0000
148,592,2.0016,2.0275,7.25,7.5,104.3000,105.3000,2120871.7960,2022485.4140,3072.9369,2887.0275,59762.0000,57475.0000
155.5,622,2.0343,2.0293,7.25,7.25,102.3000,104.3000,2369010.6410,2120871.7960,3021.5430,2798.9426,57424.0000,60952.0000
154.25,617,2.1724,2.0672,7.25,7.25,101.9000,102.3000,2089640.4010,2369010.6410,3145.0038,3045.7610,56352.0000,59762.0000
147,588,2.2516,2.0772,7.25,7.25,103.3000,101.9000,2077379.3500,2089640.4010,3147.9820,3116.9627,55910.0000,57424.0000
139,556,2.3416,2.0305,7.25,7.25,104.3000,103.3000,2120069.9580,2077379.3500,3098.6498,3072.9369,53506.0000,56352.0000
131.5,526,2.2699,1.9727,7.25,7.25,103.4000,104.3000,2073441.5990,2120069.9580,3279.2004,3021.5430,47457.0000,55910.0000
131.75,527,2.1881,1.9823,7.5,7.25,103.5000,103.4000,2108704.6580,2073441.5990,3230.0323,3145.0038,48235.0000,53506.0000
134.25,537,2.2947,2.0016,8,7.5,102.2000,103.5000,2159854.2670,2108704.6580,3188.7886,3147.9820,50012.0000,47457.0000
138.5,554,2.3449,2.0343,8,8,98.9000,102.2000,2118973.1990,2159854.2670,3081.8595,3098.6498,52338.0000,48235.0000
129.25,517,2.3816,2.1724,8.5,8,101.5000,98.9000,2138132.5560,2118973.1990,3082.5086,3279.2004,54256.0000,50012.0000
131.5,526,2.3831,2.2516,9,8.5,102.8000,101.5000,2157785.7580,2138132.5560,3209.3618,3230.0323,52483.0000,52338.0000
136.25,545,2.3255,2.3416,9,9,100.9000,102.8000,2125618.2260,2157785.7580,3211.8311,3188.7886,51507.0000,54256.0000
146.25,585,2.2322,2.2699,9.5,9,99.5000,100.9000,2234729.3180,2125618.2260,3212.3408,3081.8595,47639.0000,52483.0000
